drugalphaN,drugName,short,"c(0, TxSeq$prodcurrent)",Col
None,None,None,0,green
1,methotrexate  ,metho  ,1,red
2,methotrexate sulfasalazine ,metho sulfa ,2,blue
3,methotrexate sulfasalazine ciclosporin,metho sulfa ciclo,3,cyan
4,methotrexate sulfasalazine leflunomide,metho sulfa leflu,4,yellow4
5,methotrexate ciclosporin ,metho ciclo ,5,green3
6,methotrexate ciclosporin leflunomide,metho ciclo leflu,6,purple
7,methotrexate leflunomide ,metho leflu ,7,navajowhite
8,methotrexate azathioprine ,metho azath ,8,brown
9,methotrexate acitretin ,metho acitr ,9,black
10,sulfasalazine  ,sulfa  ,10,hotpink1
11,sulfasalazine ciclosporin ,sulfa ciclo ,11,gray87
12,sulfasalazine leflunomide ,sulfa leflu ,12,aquamarine4
13,sulfasalazine azathioprine ,sulfa azath ,13,magenta
14,sulfasalazine hydroxyurea ,sulfa hydro ,14,darksalmon
15,ciclosporin  ,ciclo  ,15,burlywood4
16,ciclosporin leflunomide ,ciclo leflu ,16,darkgoldenrod1
17,ciclosporin azathioprine ,ciclo azath ,17,blue4
18,ciclosporin acitretin ,ciclo acitr ,18,darkgoldenrod4
19,ciclosporin mycophenolate ,ciclo mycop ,19,blueviolet
20,leflunomide  ,leflu  ,20,aquamarine
21,leflunomide acitretin ,leflu acitr ,21,aliceblue
22,azathioprine  ,azath  ,22,chocolate
23,azathioprine mycophenolate ,azath mycop ,23,coral
24,acitretin  ,acitr  ,24,cornflowerblue
25,acitretin hydroxyurea ,acitr hydro ,25,chocolate4
26,hydroxyurea  ,hydro  ,26,brown1
27,mycophenolate  ,mycop  ,27,red
